Service Name,Physical Address,Suburb,Physical State,Postal Code,2018 Aged Care Planning Region (ACPR) Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,2019 MMM Code,2016 SA2 Code,2016 SA2 Name,2016 SA3 Code,2016 SA3 Name,2016 LGA Name,2016 LGA Code,2017 PHN Code,2017 PHN Name,Latitude,Longitude,2023/24 FY Australian Government Funding,Overall Star Rating,Residents' Experience rating,Compliance rating,Staffing rating,Quality Measures rating
St Simeon Village,"261 Hyatts ROAD, ROOTY HILL, NSW, 2766",ROOTY HILL,NSW,2766,116,Western Sydney,Residential,51,0,0,Serbian Orthodox Diocese Aged Care and Education Property Fund,Charitable,Major Cities of Australia,1,11315,Hassall Grove - Plumpton,11603,Mount Druitt,Blacktown (C),10750,PHN103,Western Sydney,-33.75107646,150.83339419,5270385.14,4.0,4.0,4.0,4.0,5.0
Fairlea Aged Care @ Rosehill,"145 GOOD STREET, ROSEHILL, NSW, 2142",ROSEHILL,NSW,2142,116,Western Sydney,Residential,51,0,0,Trinity Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11492,Parramatta - Rosehill,12504,Parramatta,Parramatta (C),16260,PHN103,Western Sydney,-33.82348944,151.01388766,5571927.52,4.0,4.0,4.0,2.0,5.0
Carino Care at Rockdale,"22 Woodford ROAD, BANKSIA, NSW, 2216",BANKSIA,NSW,2216,113,South East Sydney,Residential,51,0,0,Carino Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11381,Rockdale - Banksia,11904,Kogarah - Rockdale,Rockdale (C),16650,PHN101,Central and Eastern Sydney,-33.945842,151.134128,4761547.75,,5.0,4.0,,4.0
Bayview Treetops Care Community,"10 A Minkara ROAD, BAYVIEW, NSW, 2104",BAYVIEW,NSW,2104,110,Northern Sydney,Residential,51,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11421,Bayview - Elanora Heights,12202,Pittwater,Northern Beaches (A),15990,PHN102,Northern Sydney,-33.6634714,151.28593872,4141095.93,4.0,4.0,5.0,4.0,5.0
Alstonville Adventist Aged Care Facility,"77 Pearces Creek ROAD, ALSTONVILLE, NSW, 2477",ALSTONVILLE,NSW,2477,103,Far North Coast,Residential,51,0,0,Seventh-day Adventist Aged Care (North New South Wales) Ltd,Charitable,Inner Regional Australia,3,11237,Ballina Region,11201,Richmond Valley - Coastal,Ballina (A),10250,PHN109,North Coast,-28.831896,153.439308,4846222.21,4.0,4.0,5.0,2.0,3.0
Southern Cross Care Mawsons Court Residential Aged Care,"80 Caves Beach ROAD, CAVES BEACH, NSW, 2281",CAVES BEACH,NSW,2281,104,Hunter,Residential,51,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,1,11212,Swansea - Caves Beach,11101,Lake Macquarie - East,Lake Macquarie (C),14650,PHN108,Hunter New England and Central Coast,-33.1053666,151.64473607,5157046.03,4.0,4.0,5.0,3.0,5.0
Catholic Healthcare St Joseph Aged Care,"41 Gladesville ROAD, HUNTERS HILL, NSW, 2110",HUNTERS HILL,NSW,2110,110,Northern Sydney,Residential,52,0,0,Catholic Healthcare Limited,Charitable,Major Cities of Australia,1,11499,Hunters Hill - Woolwich,12602,Ryde - Hunters Hill,Hunters Hill (A),14100,PHN102,Northern Sydney,-33.83397475,151.14201617,4847607.83,4.0,5.0,5.0,2.0,4.0
Uniting Bruce Sharpe Rockdale,"110 Frederick STREET, ROCKDALE, NSW, 2216",ROCKDALE,NSW,2216,113,South East Sydney,Residential,52,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11381,Rockdale - Banksia,11904,Kogarah - Rockdale,Rockdale (C),16650,PHN101,Central and Eastern Sydney,-33.95145788,151.13263989,5057792.9,4.0,3.0,5.0,3.0,5.0
Belmore Place Care Community,"35 Yerrick ROAD, LAKEMBA, NSW, 2195",LAKEMBA,NSW,2195,106,Inner West,Residential,52,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11573,Lakemba,11902,Canterbury,Canterbury-Bankstown (A),11570,PHN101,Central and Eastern Sydney,-33.91463035,151.07805271,5943171.13,4.0,4.0,5.0,3.0,3.0
Aurrum Norah Head,"60 Soldiers Point DRIVE, NORAH HEAD, NSW, 2263",NORAH HEAD,NSW,2263,101,Central Coast,Residential,53,0,0,Aurrum Pty Limited,Private Incorporated Body,Major Cities of Australia,1,11054,Toukley - Norah Head,10202,Wyong,Central Coast (C) (NSW),11650,PHN108,Hunter New England and Central Coast,-33.28401478,151.5684997,6165421.79,,,,,
RFBI Moonbi Masonic Village - Jim Holm,"New England HIGHWAY, KOOTINGAL, NSW, 2352",KOOTINGAL,NSW,2352,109,New England,Residential,53,0,0,Royal Freemasons' Benevolent Institution,Charitable,Inner Regional Australia,3,11205,Tamworth Region,11004,Tamworth - Gunnedah,Tamworth Regional (A),17310,PHN108,Hunter New England and Central Coast,-31.063154,151.039599,4993279.49,3.0,3.0,4.0,3.0,3.0
Catholic Healthcare St Francis Aged Care,"85-89 Clinton STREET, ORANGE, NSW, 2800",ORANGE,NSW,2800,102,Central West,Residential,53,0,0,Catholic Healthcare Limited,Charitable,Inner Regional Australia,3,11077,Orange,10304,Orange,Orange (C),16150,PHN107,Western NSW,-33.27912008,149.09094366,7263667.04,4.0,4.0,5.0,4.0,4.0
Shangri-La Nursing Home,"107 Carrington AVENUE, HURSTVILLE, NSW, 2220",HURSTVILLE,NSW,2220,113,South East Sydney,Residential,53,0,0,Fresh Fields Aged Care (NSW) - No 1 Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11368,Hurstville,11903,Hurstville,Georges River (A),12930,PHN101,Central and Eastern Sydney,-33.96001986,151.09536848,5356840.49,4.0,3.0,5.0,2.0,5.0
Lady Of Grace Nursing Home,"454 Old Northern ROAD, DURAL, NSW, 2158",DURAL,NSW,2158,116,Western Sydney,Residential,53,0,0,Twilight House,Community Based,Major Cities of Australia,1,11297,Dural - Kenthurst - Wisemans Ferry,11502,Dural - Wisemans Ferry,The Hills Shire (A),17420,PHN103,Western Sydney,-33.70246276,151.01329746,4902330.78,,,,,
The Whiddon Group - Narrabri - Robert Young,"Cameron STREET, NARRABRI, NSW, 2390",NARRABRI,NSW,2390,109,New England,Residential,54,0,0,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Outer Regional Australia,4,11197,Narrabri,11003,Moree - Narrabri,Narrabri (A),15750,PHN108,Hunter New England and Central Coast,-30.326903,149.7758704,4311701.94,4.0,4.0,5.0,5.0,3.0
Narraweena Grove Care Community,"71A Mcintosh ROAD, NARRAWEENA, NSW, 2099",NARRAWEENA,NSW,2099,110,Northern Sydney,Residential,54,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11424,Beacon Hill - Narraweena,12203,Warringah,Northern Beaches (A),15990,PHN102,Northern Sydney,-33.75099266,151.27638266,6523617.72,4.0,5.0,5.0,3.0,3.0
Murray Haven Hostel,"98 Punt ROAD, BARHAM, NSW, 2732",BARHAM,NSW,2732,112,Riverina/Murray,Residential,55,0,0,Murray Haven Homes Limited,Community Based,Outer Regional Australia,5,11183,Deniliquin Region,10903,Upper Murray exc. Albury,Murray River (A),15520,PHN110,Murrumbidgee,-35.62314526,144.13318674,5446228.91,4.0,4.0,5.0,3.0,3.0
Southern Cross Care Cootamundra Residential Aged Care,"Scott AVENUE, COOTAMUNDRA, NSW, 2590",COOTAMUNDRA,NSW,2590,112,Riverina/Murray,Residential,55,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,4,11263,Cootamundra,11303,Wagga Wagga,Gundagai (A),13510,PHN110,Murrumbidgee,-34.6342263,148.0155148,5699647.43,4.0,4.0,5.0,4.0,3.0
Catholic Healthcare Coolamon Villa,"1-3 Azalea STREET, MULLUMBIMBY, NSW, 2482",MULLUMBIMBY,NSW,2482,103,Far North Coast,Residential,55,0,0,Catholic Healthcare Limited,Charitable,Inner Regional Australia,5,11243,Mullumbimby,11201,Richmond Valley - Coastal,Byron (A),11350,PHN109,North Coast,-28.55901471,153.49092774,4883639.54,3.0,3.0,4.0,2.0,4.0
Catholic Healthcare Macquarie Care Centre,"35 Russell STREET, BATHURST, NSW, 2795",BATHURST,NSW,2795,102,Central West,Residential,55,0,0,Catholic Healthcare Limited,Charitable,Inner Regional Australia,3,11058,Bathurst,10301,Bathurst,Bathurst Regional (A),10470,PHN107,Western NSW,-33.41814393,149.57910696,5695219.57,3.0,2.0,5.0,3.0,4.0
Calvary Henley Manor,"84 Earle STREET, DOONSIDE, NSW, 2767",DOONSIDE,NSW,2767,116,Western Sydney,Residential,55,0,0,Calvary Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11306,Doonside - Woodcroft,11601,Blacktown,Blacktown (C),10750,PHN103,Western Sydney,-33.76079939,150.86571441,6146542.41,4.0,3.0,5.0,2.0,4.0
Garden View Nursing Home,"124 PATON STREET, MERRYLANDS WEST, NSW, 2160",MERRYLANDS WEST,NSW,2160,116,Western Sydney,Residential,55,0,0,Garden View Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11484,Guildford West - Merrylands West,12503,Merrylands - Guildford,Cumberland (A),12380,PHN103,Western Sydney,-33.83379673,150.960062,4930576.33,4.0,3.0,4.0,3.0,5.0
Sirius Cove Nursing Home,"17 Clanalpine STREET, MOSMAN, NSW, 2088",MOSMAN,NSW,2088,110,Northern Sydney,Residential,55,0,0,Fresh Fields Aged Care (NSW) - No 1 Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11415,Mosman,12104,North Sydney - Mosman,Mosman (A),15350,PHN102,Northern Sydney,-33.83789121,151.23779259,4412765.23,4.0,3.0,5.0,3.0,5.0
Uniting Kari Court St Ives,"251-257 Mona Vale ROAD, ST IVES, NSW, 2075",ST IVES,NSW,2075,110,Northern Sydney,Residential,55,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11410,St Ives,12103,Ku-ring-gai,Ku-ring-gai (A),14500,PHN102,Northern Sydney,-33.72857768,151.16425379,5781883.55,3.0,3.0,4.0,2.0,4.0
The Whiddon Group - Belmont,"10 Gibson STREET, BELMONT, NSW, 2280",BELMONT,NSW,2280,104,Hunter,Residential,56,0,0,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Major Cities of Australia,1,11206,Belmont - Bennetts Green,11101,Lake Macquarie - East,Lake Macquarie (C),14650,PHN108,Hunter New England and Central Coast,-33.03618876,151.66606286,5581427.38,4.0,4.0,5.0,3.0,3.0
Glenwood Nursing Home,"34 Greenwich ROAD, GREENWICH, NSW, 2065",GREENWICH,NSW,2065,110,Northern Sydney,Residential,56,0,0,Fresh Fields Aged Care (NSW) - No 1 Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11400,Lane Cove - Greenwich,12101,Chatswood - Lane Cove,Lane Cove (A),14700,PHN102,Northern Sydney,-33.82788391,151.18905324,5130903.12,4.0,4.0,5.0,3.0,3.0
Catholic Healthcare Lewisham Nursing Home,"1B Thomas STREET, LEWISHAM, NSW, 2049",LEWISHAM,NSW,2049,106,Inner West,Residential,56,0,0,Catholic Healthcare Limited,Charitable,Major Cities of Australia,1,11394,Dulwich Hill - Lewisham,12003,Strathfield - Burwood - Ashfield,Inner West (A),14170,PHN101,Central and Eastern Sydney,-33.89179759,151.14807176,6099269.9,4.0,5.0,5.0,3.0,4.0
Advantaged Care at Bondi Waters,"47-51 O'Brien STREET, BONDI, NSW, 2026",BONDI,NSW,2026,113,South East Sydney,Residential,56,0,0,Advantaged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11340,Bondi Beach - North Bondi,11801,Eastern Suburbs - North,Waverley (A),18050,PHN101,Central and Eastern Sydney,-33.88876,151.268385,4379943.85,4.0,3.0,5.0,3.0,4.0
St Basil's Kogarah,"18-20 Garden STREET, KOGARAH, NSW, 2217",KOGARAH,NSW,2217,113,South East Sydney,Residential,57,0,0,St Basil's Homes,Charitable,Major Cities of Australia,1,11378,Kogarah,11904,Kogarah - Rockdale,Georges River (A),12930,PHN101,Central and Eastern Sydney,-33.97135224,151.1314155,5201296.67,4.0,3.0,5.0,3.0,4.0
The Whiddon Group - Narrabri - Jessie Hunt,"84 Gibbons STREET, NARRABRI, NSW, 2390",NARRABRI,NSW,2390,109,New England,Residential,57,0,0,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Outer Regional Australia,4,11197,Narrabri,11003,Moree - Narrabri,Narrabri (A),15750,PHN108,Hunter New England and Central Coast,-30.32478781,149.77593589,3621645.17,4.0,5.0,5.0,4.0,3.0
Anglican Care Scenic Lodge Merewether,"251 Scenic DRIVE, MEREWETHER, NSW, 2291",MEREWETHER,NSW,2291,104,Hunter,Residential,57,0,0,Anglican Care,Charitable,Major Cities of Australia,1,11228,Merewether - The Junction,11103,Newcastle,Newcastle (C),15900,PHN108,Hunter New England and Central Coast,-32.949655,151.729167,4298332.61,4.0,4.0,5.0,3.0,4.0
HammondCare - Wahroonga,"3-9 Woonona AVENUE,  SOUTH, WAHROONGA, NSW, 2076",WAHROONGA,NSW,2076,110,Northern Sydney,Residential,57,0,0,HammondCare,Charitable,Major Cities of Australia,1,11412,Wahroonga (East) - Warrawee,12103,Ku-ring-gai,Ku-ring-gai (A),14500,PHN102,Northern Sydney,-33.71785479,151.11400187,5581746.96,3.0,4.0,4.0,2.0,3.0
Aruma Lodge,"Beryl Street, Beryl STREET, BROKEN HILL, NSW, 2880",BROKEN HILL,NSW,2880,111,Orana Far West,Residential,58,0,0,Southern Cross Care (Broken Hill) Ltd,Religious,Outer Regional Australia,3,11097,Broken Hill,10502,Broken Hill and Far West,Broken Hill (C),11250,PHN107,Western NSW,-31.943575,141.485104,5957116.59,4.0,4.0,5.0,4.0,3.0
Southern Cross Care Daceyville Residential Aged Care,"1-3 Gwea AVENUE, DACEYVILLE, NSW, 2032",DACEYVILLE,NSW,2032,113,South East Sydney,Residential,58,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,1,11323,Pagewood - Hillsdale - Daceyville,11701,Botany,Botany Bay (C),11100,PHN101,Central and Eastern Sydney,-33.93036453,151.2250307,6029976.76,4.0,4.0,5.0,3.0,5.0
Turramurra House Nursing Home,"34 Curagul ROAD, NORTH TURRAMURRA, NSW, 2074",NORTH TURRAMURRA,NSW,2074,110,Northern Sydney,Residential,58,0,0,Thompson Health Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11411,Turramurra,12103,Ku-ring-gai,Ku-ring-gai (A),14500,PHN102,Northern Sydney,-33.69820486,151.15211541,5414684.96,4.0,5.0,5.0,2.0,5.0
St Ezekiel Moreno Nursing Home,"77-79 Cheltenham ROAD, CROYDON, NSW, 2132",CROYDON,NSW,2132,106,Inner West,Residential,58,0,0,St Ezekiel Moreno Limited,Religious,Major Cities of Australia,1,11391,Burwood - Croydon,12003,Strathfield - Burwood - Ashfield,Burwood (A),11300,PHN101,Central and Eastern Sydney,-33.8771063,151.11135774,5224770.61,4.0,3.0,4.0,4.0,3.0
RFBI Raleigh Urunga Masonic Village,"102 Old Pacific HIGHWAY, RALEIGH, NSW, 2454",RALEIGH,NSW,2454,107,Mid North Coast,Residential,58,0,0,Royal Freemasons' Benevolent Institution,Charitable,Outer Regional Australia,3,11090,Urunga,10402,Coffs Harbour,Bellingen (A),10600,PHN109,North Coast,-30.463188,153.004509,6218803.27,3.0,3.0,5.0,2.0,3.0
Anglicare Lemongrove Gardens,"32 Gascoigne STREET, PENRITH, NSW, 2750",PENRITH,NSW,2750,108,Nepean,Residential,59,0,0,Anglican Community Services,Religious,Major Cities of Australia,1,11464,Penrith,12403,Penrith,Penrith (C),16350,PHN104,Nepean Blue Mountains,-33.75261083,150.71036318,6049753.87,4.0,3.0,5.0,3.0,5.0
BaptistCare Niola Centre,"29 Bushman STREET, PARKES, NSW, 2870",PARKES,NSW,2870,102,Central West,Residential,59,0,0,BaptistCare NSW & ACT,Charitable,Outer Regional Australia,4,11067,Parkes (NSW),10302,Lachlan Valley,Parkes (A),16200,PHN107,Western NSW,-33.134265,148.170915,6473445.08,4.0,4.0,5.0,3.0,3.0
Bolton Clarke Calare (PKA - Calare Residential Aged Care Facility),"124 March STREET, ORANGE, NSW, 2800",ORANGE,NSW,2800,102,Central West,Residential,59,0,0,RSL Care RDNS Limited,Charitable,Inner Regional Australia,3,11077,Orange,10304,Orange,Orange (C),16150,PHN107,Western NSW,-33.27994836,149.10040667,5258171.49,4.0,3.0,4.0,5.0,3.0
A H Orr Lodge,"27 Clissold STREET, ASHFIELD, NSW, 2131",ASHFIELD,NSW,2131,106,Inner West,Residential,60,0,0,Ashfield Baptist Homes Ltd,Religious,Major Cities of Australia,1,11390,Ashfield,12003,Strathfield - Burwood - Ashfield,Inner West (A),14170,PHN101,Central and Eastern Sydney,-33.89495522,151.12584144,5865907.92,,,,,
Murray Vale Shalem Hostel,"342 Wagga ROAD, LAVINGTON, NSW, 2641",LAVINGTON,NSW,2641,112,Riverina/Murray,Residential,60,0,0,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,2,11176,Lavington,10901,Albury,Albury (C),10050,PHN205,Murray,-36.04998927,146.937888,6016411.68,4.0,4.0,5.0,5.0,1.0
The Whiddon Group - Laurieton,"57 Peach GROVE, LAURIETON, NSW, 2443",LAURIETON,NSW,2443,107,Mid North Coast,Residential,60,0,0,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,4,11162,Laurieton - Bonny Hills,10804,Port Macquarie,Port Macquarie-Hastings (A),16380,PHN109,North Coast,-31.64615854,152.79417442,5886913.91,4.0,5.0,5.0,4.0,3.0
Uniting Alblas Lodge Tamworth,"1 Tribe STREET, TAMWORTH, NSW, 2340",TAMWORTH,NSW,2340,109,New England,Residential,60,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,3,11203,Tamworth - North,11004,Tamworth - Gunnedah,Tamworth Regional (A),17310,PHN108,Hunter New England and Central Coast,-31.07185098,150.9180858,6176355.8,3.0,3.0,5.0,2.0,3.0
Booroongen Djugun Limited,"337-351 River STREET, GREENHILL, NSW, 2440",GREENHILL,NSW,2440,107,Mid North Coast,Residential,60,0,0,Booroongen Djugun Limited,Community Based,Inner Regional Australia,4,11155,Kempsey,10802,Kempsey - Nambucca,Kempsey (A),14350,PHN109,North Coast,-31.05476032,152.79314484,8270229.02,4.0,4.0,4.0,4.0,1.0
Uniting The Garrison Mosman,"13 Spit ROAD, MOSMAN, NSW, 2088",MOSMAN,NSW,2088,110,Northern Sydney,Residential,60,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11415,Mosman,12104,North Sydney - Mosman,Mosman (A),15350,PHN102,Northern Sydney,-33.82365304,151.2427532,5798465.87,4.0,3.0,5.0,3.0,5.0
Charles Chambers Court,"11 Hunt STREET, SURRY HILLS, NSW, 2010",SURRY HILLS,NSW,2010,113,South East Sydney,Residential,60,0,0,Mission Australia,Charitable,Major Cities of Australia,1,11336,Surry Hills,11703,Sydney Inner City,Sydney (C),17200,PHN101,Central and Eastern Sydney,-33.88007254,151.2111716,8384791.39,4.0,3.0,5.0,2.0,4.0
HammondCare - Leighton Lodge,"10 MURRUA ROAD, NORTH TURRAMURRA, NSW, 2074",NORTH TURRAMURRA,NSW,2074,110,Northern Sydney,Residential,60,0,0,HammondCare,Charitable,Major Cities of Australia,1,11411,Turramurra,12103,Ku-ring-gai,Ku-ring-gai (A),14500,PHN102,Northern Sydney,-33.69536169,151.14654224,6336949.85,4.0,5.0,5.0,3.0,2.0
Anglicare Eileen Armstrong House,"20 Alice STREET, WOONONA, NSW, 2517",WOONONA,NSW,2517,105,Illawarra,Residential,60,0,0,Anglican Community Services,Religious,Major Cities of Australia,1,11150,Woonona - Bulli - Russell Vale,10704,Wollongong,Wollongong (C),18450,PHN106,South Eastern NSW,-34.35141122,150.90952351,6310699.6,4.0,4.0,5.0,3.0,3.0
Bexley Care Centre,"82-84 Connemarra STREET, BEXLEY, NSW, 2207",BEXLEY,NSW,2207,113,South East Sydney,Residential,60,0,0,Fresh Fields Management (NSW) No 2 Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11376,Bexley,11904,Kogarah - Rockdale,Rockdale (C),16650,PHN101,Central and Eastern Sydney,-33.95850606,151.12538838,6387472.16,4.0,4.0,4.0,2.0,4.0
Warrigal Care Coniston,"91 Bridge STREET, CONISTON, NSW, 2500",CONISTON,NSW,2500,105,Illawarra,Residential,60,0,0,Warrigal Care,Charitable,Major Cities of Australia,1,11549,Wollongong - West,10704,Wollongong,Wollongong (C),18450,PHN106,South Eastern NSW,-34.43733694,150.87819398,6731684.49,3.0,3.0,4.0,3.0,3.0
Anglicare Jean Ross House,"189 Old Southern ROAD, SOUTH NOWRA, NSW, 2541",SOUTH NOWRA,NSW,2541,105,Illawarra,Residential,60,0,0,Anglican Community Services,Religious,Inner Regional Australia,3,11278,Nowra,11401,Shoalhaven,Shoalhaven (C),16950,PHN106,South Eastern NSW,-34.902942,150.61105247,6836310.54,4.0,4.0,5.0,3.0,5.0
Yallaroo,"1 Stafford ROAD, ALBURY, NSW, 2640",ALBURY,NSW,2640,112,Riverina/Murray,Residential,60,0,0,Lutheran Aged Care Albury,Charitable,Inner Regional Australia,2,11174,Albury - South,10901,Albury,Albury (C),10050,PHN205,Murray,-36.072614,146.883555,6246485.75,4.0,4.0,5.0,3.0,5.0
Aurrum Wyoming,"80 Chamberlain ROAD, WYOMING, NSW, 2250",WYOMING,NSW,2250,101,Central Coast,Residential,60,0,0,Aurrum Pty Limited,Private Incorporated Body,Major Cities of Australia,1,11043,Wyoming,10201,Gosford,Central Coast (C) (NSW),11650,PHN108,Hunter New England and Central Coast,-33.39890621,151.36672014,5620894.45,,,,,
Navorina Nursing Home,"5-9 Macauley STREET, DENILIQUIN, NSW, 2710",DENILIQUIN,NSW,2710,112,Riverina/Murray,Residential,60,0,0,The Deniliquin Nursing Home Foundation Ltd,Community Based,Inner Regional Australia,4,11182,Deniliquin,10903,Upper Murray exc. Albury,Edward River (A),12730,PHN110,Murrumbidgee,-35.52272012,144.96265451,5689537.96,3.0,4.0,3.0,3.0,3.0
Uniting Salamander Bay,"4 Muller STREET, SALAMANDER BAY, NSW, 2317",SALAMANDER BAY,NSW,2317,104,Hunter,Residential,60,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,4,11121,Nelson Bay Peninsula,10603,Port Stephens,Port Stephens (A),16400,PHN108,Hunter New England and Central Coast,-32.73024951,152.08347048,6007546.07,4.0,5.0,5.0,3.0,3.0
Catholic Healthcare Our Lady of Loreto Gardens,"1 Minnesota ROAD, HAMLYN TERRACE, NSW, 2259",HAMLYN TERRACE,NSW,2259,101,Central Coast,Residential,60,0,0,Catholic Healthcare Limited,Charitable,Major Cities of Australia,1,11056,Warnervale - Wadalba,10202,Wyong,Central Coast (C) (NSW),11650,PHN108,Hunter New England and Central Coast,-33.24414632,151.46770636,6274000.62,4.0,4.0,5.0,3.0,4.0
Carinya House,"1A Mills ROAD, GLENHAVEN, NSW, 2156",GLENHAVEN,NSW,2156,116,Western Sydney,Residential,60,0,0,Christian Brethren Community Services,Charitable,Major Cities of Australia,1,11294,Glenhaven,11501,Baulkham Hills,The Hills Shire (A),17420,PHN103,Western Sydney,-33.69961667,150.98893704,6119274.12,3.0,3.0,4.0,3.0,3.0
Groves House,"131 Main ROAD, CARDIFF HEIGHTS, NSW, 2285",CARDIFF HEIGHTS,NSW,2285,104,Hunter,Residential,60,0,0,Christian Brethren Community Services,Charitable,Major Cities of Australia,1,11209,Glendale - Cardiff - Hillsborough,11101,Lake Macquarie - East,Lake Macquarie (C),14650,PHN108,Hunter New England and Central Coast,-32.935644,151.673121,6426795.62,3.0,3.0,5.0,3.0,2.0
IRT Macarthur,"1 Hyde PARADE, CAMPBELLTOWN, NSW, 2560",CAMPBELLTOWN,NSW,2560,114,South West Sydney,Residential,60,0,0,Illawarra Retirement Trust,Community Based,Major Cities of Australia,1,11437,Campbelltown - Woodbine,12302,Campbelltown (NSW),Campbelltown (C) (NSW),11500,PHN105,South Western Sydney,-34.07481706,150.80637657,6069062.07,4.0,4.0,5.0,2.0,4.0
Benjamin Short Grove,"130 Huntley ROAD, ORANGE, NSW, 2800",ORANGE,NSW,2800,102,Central West,Residential,60,0,0,Mission Australia,Charitable,Inner Regional Australia,3,11077,Orange,10304,Orange,Orange (C),16150,PHN107,Western NSW,-33.31736025,149.09395522,8088562.22,4.0,4.0,4.0,4.0,5.0
HammondCare Mason,"19 Kiama STREET, MIRANDA, NSW, 2228",MIRANDA,NSW,2228,113,South East Sydney,Residential,60,0,0,HammondCare,Charitable,Major Cities of Australia,1,11530,Miranda - Yowie Bay,12801,Cronulla - Miranda - Caringbah,Sutherland Shire (A),17150,PHN101,Central and Eastern Sydney,-34.023888,151.10283,4775068.39,4.0,4.0,4.0,3.0,4.0
Bill Newton VC Gardens,"28 A Lansdowne DRIVE, DUBBO, NSW, 2830",DUBBO,NSW,2830,111,Orana Far West,Residential,60,0,0,RSL LifeCare Limited,Community Based,Inner Regional Australia,3,11102,Dubbo - West,10503,Dubbo,Western Plains Regional (A),18230,PHN107,Western NSW,-32.247154,148.571534,6500011.23,3.0,3.0,4.0,4.0,2.0
Peter Badcoe VC House,"510 King STREET, NEWCASTLE, NSW, 2300",NEWCASTLE,NSW,2300,104,Hunter,Residential,60,0,0,RSL LifeCare Limited,Community Based,Major Cities of Australia,1,11224,Hamilton - Broadmeadow,11103,Newcastle,Newcastle (C),15900,PHN108,Hunter New England and Central Coast,-32.92624,151.759311,5494327.15,4.0,4.0,5.0,2.0,4.0
The Whiddon Group - Maclean,"27 Union STREET, MACLEAN, NSW, 2463",MACLEAN,NSW,2463,103,Far North Coast,Residential,61,0,0,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,5,11082,Maclean - Yamba - Iluka,10401,Clarence Valley,Clarence Valley (A),11730,PHN109,North Coast,-29.45435382,153.20343023,6980736.96,4.0,4.0,4.0,3.0,3.0
Teloca House Hostel,"120 Audley STREET, NARRANDERA, NSW, 2700",NARRANDERA,NSW,2700,112,Riverina/Murray,Residential,61,0,0,RSL LifeCare Limited,Community Based,Outer Regional Australia,5,11259,Narrandera,11301,Griffith - Murrumbidgee (West),Narrandera (A),15800,PHN110,Murrumbidgee,-34.74811985,146.54948431,6337940.18,4.0,4.0,5.0,2.0,3.0
RFBI Coffs Harbour Masonic Village,"33A Mackays ROAD, COFFS HARBOUR, NSW, 2450",COFFS HARBOUR,NSW,2450,107,Mid North Coast,Residential,61,0,0,Royal Freemasons' Benevolent Institution,Charitable,Inner Regional Australia,3,11084,Coffs Harbour - North,10402,Coffs Harbour,Coffs Harbour (C),11800,PHN109,North Coast,-30.27731496,153.10314863,6345671.78,4.0,4.0,5.0,3.0,2.0
Frederic House,"182 Young STREET, WATERLOO, NSW, 2017",WATERLOO,NSW,2017,113,South East Sydney,Residential,61,0,0,St Vincent De Paul Society NSW,Religious,Major Cities of Australia,1,11338,Waterloo - Beaconsfield,11703,Sydney Inner City,Sydney (C),17200,PHN101,Central and Eastern Sydney,-33.89720706,151.20918008,7354433.7,,,,,
