Provider Name,Suburb,Postal Code
Australian Korean Welfare Association Ltd,HOMEBUSH WEST,2140
S.T McGarry Pty Limited,ALBURY,2640
WeCare Wellness Services Pty Ltd aft WeCare Wellness Services Trust,HURSTVILLE,2220
S.T McGarry Pty Limited,ROCKDALE,2216
Hope Holistic Care Limited,WEST RYDE,2114
Nouri Pty Ltd trading as Asayish Comfort Care,SMITHFIELD,2164
St Maurice Aged Care Ltd,CARINGBAH,2229
Pearl Home Care Pty Ltd,WYONG,2259
Pearl Home Care Pty Ltd,FAIRFIELD,2165
Pearl Home Care Pty Ltd,ERINA,2250
Pearl Home Care Pty Ltd,PEAKHURST,2210
Pearl Home Care Pty Ltd,SEVEN HILLS,2147
Pearl Home Care Pty Ltd,ALBION PARK,2527
Pearl Home Care Pty Ltd,WAGGA WAGGA,2650
Pearl Home Care Pty Ltd,BALLINA,2478
Pearl Home Care Pty Ltd,DEE WHY,2099
Pearl Home Care Pty Ltd,RUTHERFORD,2320
Pearl Home Care Pty Ltd,BAULKHAM HILLS,2153
Pearl Home Care Pty Ltd,MIRANDA,2228
Reach Quality Care Pty Ltd,NTH STRATHFIELD,2137
Grace and Ease Pty Ltd,PORT MACQUARIE,2444
Park Beach Residence Pty Limited,COFFS HARBOUR,2450
Coburg Aged Care Pty Ltd,HURSTVILLE,2220
The Uniting Church in Australia Property Trust (NSW),BERRIGAN,2712
One Dream Community Pty Ltd,NORTH STRATHFIELD,2137
Scalabrini Village Ltd,ALLAMBIE HEIGHTS,2100
Transition Care Pty Ltd,TWEED HEADS,2485
A and D In Home Care Pty Ltd,JAMISONTOWN,2750
Wellington Aboriginal Corporation Health Service,WELLINGTON,2820
BaptistCare NSW & ACT,BAULKHAM HILLS,2153
Ultimate Health Aged Care Pty Ltd,GREYSTANES,2145
Anglicare NT Ltd,NHULUNBUY,0880
MALA'LA HEALTH SERVICE ABORIGINAL CORPORATION,MANINGRIDA,0822
Calvary Community Care,COCONUT GROVE,0810
MyHomecare Pty Ltd,ALICE SPRINGS,0870
Regis Aged Care Pty Ltd,TIWI,0810
Australian Regional and Remote Community Services Limited,ALICE SPRINGS,0870
Australian Regional and Remote Community Services Limited,DARWIN,0800
Australian Regional and Remote Community Services Limited,KATHERINE,0850
West Arnhem Regional Council,OENPELLI,0822
Julalikari Council Aboriginal Corporation,TENNANT CREEK,0860
West Arnhem Regional Council,JABIRU,0886
Central Desert Regional Council,LAJAMANU,0852
Larrakia Nation Aboriginal Corporation,COCONUT GROVE,0810
Laynhapuy Homelands Aboriginal Corporation,YIRRKALA,0880
Alawa Aboriginal Corporation,HODGSON DOWNS,0852
Victoria Daly Regional Council,DALY RIVER,0822
Roper Gulf Regional Council,NUMBULWAR,0852
Tangentyere Council Incorporated,ALICE SPRINGS,0870
Top End Association For Mental Health Incorporated,DARWIN CITY,0800
Victoria Daly Regional Council,YARRALIN,0852
Life Without Barriers,ALICE SPRINGS,0870
Southern Cross Care (SA NT & VIC) Incorporated,FANNIE BAY,0820
Golden Glow Corporation (NT) Pty Ltd,WANGURI,0810
East Arnhem Regional Council,NHULUNBUY,0880
Life Without Barriers,WINNELLIE,0821
Belyuen Community Government Council,BELYUEN COMMUNITY,0822
Life Without Barriers,KATHERINE,0850
Anglicare NT Ltd,ALICE SPRINGS,0871
Anglicare NT Ltd,KATHERINE,0850
Anglicare NT Ltd,WINNELLIE,0820
Western Desert Nganampa Walytja Palyantjaku Tjutaku Aboriginal Corporation,ALICE SPRINGS,0870
Victoria Daly Regional Council,KALKARINDJI,0852
Victoria Daly Regional Council,TIMBER CREEK,0852
Seventh-Day Adventist Aged Care (South Queensland) Ltd,VICTORIA POINT,4165
Warwick Benevolent Society Inc,WARWICK,4370
The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane,GREENSLOPES,4120
The Corporation of the Synod of the Diocese of Brisbane,MIDDLE RIDGE,4350
Arcare Pty Ltd,NORTH LAKES,4509
Ballycara Limited,NEWPORT,4020
The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane,ASPLEY,4034
Aurukun Shire Council,AURUKUN,4871
The Baptist Union of Queensland,GAYTHORNE,4051
The Baptist Union of Queensland,MITCHELTON,4051
The Baptist Union of Queensland,NERANG,4211
Baralaba Community Aged Care Association Inc,BARALABA,4702
Barcaldine Regional Council,ALPHA,4724
Barcaldine Regional Council,ARAMAC,4726
Biggenden Lions Club Inc,BIGGENDEN,4621
Blackall Range Care Group Limited,FLAXTON,4560
The Uniting Church in Australia Property Trust (Q.),ALLORA,4362
The Uniting Church in Australia Property Trust (Q.),BEAUDESERT,4285
The Uniting Church in Australia Property Trust (Q.),BEENLEIGH,4207
The Uniting Church in Australia Property Trust (Q.),BOWEN,4805
The Uniting Church in Australia Property Trust (Q.),BRASSALL,4305
The Uniting Church in Australia Property Trust (Q.),WYNNUM WEST,4178
The Uniting Church in Australia Property Trust (Q.),EIGHT MILE PLAINS,4113
The Uniting Church in Australia Property Trust (Q.),MILTON,4064
The Uniting Church in Australia Property Trust (Q.),TOOGOOLAWAH,4313
The Uniting Church in Australia Property Trust (Q.),BUNDABERG,4670
The Uniting Church in Australia Property Trust (Q.),MILLBANK,4670
The Uniting Church in Australia Property Trust (Q.),AYR,4807
The Uniting Church in Australia Property Trust (Q.),MORAYFIELD,4506
The Uniting Church in Australia Property Trust (Q.),PARRAMATTA PARK,4870
The Uniting Church in Australia Property Trust (Q.),BILOELA,4715
The Uniting Church in Australia Property Trust (Q.),CALOUNDRA,4551
The Uniting Church in Australia Property Trust (Q.),YEPPOON,4703
The Uniting Church in Australia Property Trust (Q.),CHARLEVILLE,4470
The Uniting Church in Australia Property Trust (Q.),RICHMOND HILL,4820
The Uniting Church in Australia Property Trust (Q.),CHARTERS TOWERS,4820
The Uniting Church in Australia Property Trust (Q.),CHINCHILLA,4413
The Uniting Church in Australia Property Trust (Q.),CLONCURRY,4824
The Uniting Church in Australia Property Trust (Q.),CROWS NEST,4355
The Uniting Church in Australia Property Trust (Q.),CUNNAMULLA,4490
The Uniting Church in Australia Property Trust (Q.),DALBY,4405
The Uniting Church in Australia Property Trust (Q.),POINT VERNON,4655
The Uniting Church in Australia Property Trust (Q.),BOONAH,4310
The Uniting Church in Australia Property Trust (Q.),GAYNDAH,4625
The Uniting Church in Australia Property Trust (Q.),GLEN EDEN,4680
The Uniting Church in Australia Property Trust (Q.),GOONDIWINDI,4390
The Uniting Church in Australia Property Trust (Q.),GYMPIE,4570
The Uniting Church in Australia Property Trust (Q.),INGHAM,4850
The Uniting Church in Australia Property Trust (Q.),INNISFAIL,4860
The Uniting Church in Australia Property Trust (Q.),IPSWICH,4305
The Uniting Church in Australia Property Trust (Q.),EASTERN HEIGHTS,4305
The Uniting Church in Australia Property Trust (Q.),KINGAROY,4610
The Uniting Church in Australia Property Trust (Q.),GATTON,4343
The Uniting Church in Australia Property Trust (Q.),ELANORA,4221
The Uniting Church in Australia Property Trust (Q.),LOWOOD,4311
The Uniting Church in Australia Property Trust (Q.),MACKAY,4740
The Uniting Church in Australia Property Trust (Q.),SOUTH MACKAY,4740
The Uniting Church in Australia Property Trust (Q.),MAREEBA,4880
The Uniting Church in Australia Property Trust (Q.),NAMBOUR,4560
The Uniting Church in Australia Property Trust (Q.),MONTO,4630
The Uniting Church in Australia Property Trust (Q.),MT ISA,4825
The Uniting Church in Australia Property Trust (Q.),MOURA,4718
The Uniting Church in Australia Property Trust (Q.),MUNDUBBERA,4626
The Uniting Church in Australia Property Trust (Q.),MURGON,4605
The Uniting Church in Australia Property Trust (Q.),COOROY,4563
The Uniting Church in Australia Property Trust (Q.),PROSERPINE,4800
The Uniting Church in Australia Property Trust (Q.),REDCLIFFE,4020
The Uniting Church in Australia Property Trust (Q.),ALEXANDRA HILLS,4161
The Uniting Church in Australia Property Trust (Q.),ROCKHAMPTON,4700
The Uniting Church in Australia Property Trust (Q.),ROMA,4455
The Uniting Church in Australia Property Trust (Q.),DEAGON,4017
The Uniting Church in Australia Property Trust (Q.),LABRADOR,4215
The Uniting Church in Australia Property Trust (Q.),ARUNDEL,4214
The Uniting Church in Australia Property Trust (Q.),STANTHORPE,4380
The Uniting Church in Australia Property Trust (Q.),TOOWOOMBA,4350
The Uniting Church in Australia Property Trust (Q.),TOWNSVILLE,4810
The Uniting Church in Australia Property Trust (Q.),TULLY,4854
The Uniting Church in Australia Property Trust (Q.),WARWICK,4370
The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane,BANKSIA BEACH,4507
Broadsound Coastal Community Development Association Inc,CARMILA,4739
Brodribb Home Incorporated,TOOWOOMBA,4350
MyHomecare Pty Ltd,BIRTINYA,4575
Churches of Christ in Queensland,ACACIA RIDGE,4110
Burringilly,WOODRIDGE,4114
Cabanda Care Inc.,ROSEWOOD,4340
Care Connect Ltd,BANYO,4014
The Cathay Community Association Inc,COOPERS PLAINS,4108
The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane,SUMNER PARK,4074
The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane,BEAUDESERT,4285
The Roman Catholic Trust Corporation for the Diocese of Rockhampton,BLACKWATER,4717
The Roman Catholic Trust Corporation for the Diocese of Rockhampton,BUNDABERG,4670
The Roman Catholic Trust Corporation for the Diocese of Rockhampton,MACKAY,4740
The Roman Catholic Trust Corporation for the Diocese of Rockhampton,ROCKHAMPTON,4700
The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane,MAROOCHYDORE,4558
Winton Shire Council,WINTON,4735
Co.As.It. Community Services Ltd,LUTWYCHE,4010
The Baptist Union of Queensland,IPSWICH,4305
DEPT OF HEALTH QLD,MACKAY,4740
The Ethnic Communities Council of Queensland Limited,WEST END,4101
Envigor Pty Limited,NORTH LAKES,4509
Everglow Community Care Links Inc.,CURRAJONG,4812
Flexi Care Inc,MANSFIELD,4122
Footprints Community Limited,NEWSTEAD,4006
Forest View Childers Inc,CHILDERS,4660
Gemfields Community Support Association Inc,SAPPHIRE,4702
Gilbert Care (Sunshine Coast) Pty. Ltd.,PELICAN WATERS,4551
Girudala Community Co-Operative Society Ltd,BOWEN,4805
Greek Orthodox Community of St George Brisbane,SOUTH BRISBANE,4101
Greek Orthodox Community of St George Brisbane,BUNDALL,4217
Hinterland Community Care Inc,DYSART,4745
Amplar Home Health,BUNDALL,4217
Flinders Shire Council,HUGHENDEN,4821
Southern Cross Care (QLD) Ltd,UPPER MT GRAVATT,4122
Lutheran Church of Australia - Queensland District,BUDERIM,4556
Inala Elders Aboriginal & Torres Strait Islander Corporation,INALA HEIGHTS,4077
Islamic Women's Association of Australia (IWAA) Inc.,RUNCORN,4113
The Baptist Union of Queensland,ROCKHAMPTON CITY,4700
Jubilee Community Care Inc,INDOOROOPILLY,4068
Mununjali Housing and Development Company Ltd,BEAUDESERT,4285
Kal'ang Respite Care Centre Aboriginal Corporation,KAWUNGAN,4655
Kaloma Home for the Aged Limited,GOONDIWINDI,4390
Kalwun Development Corporation Limited,MUDGEERABA,4213
The Baptist Union of Queensland,BUNDABERG,4670
Kowanyama Aboriginal Shire Council,KOWANYAMA,4892
St Vincent's Care Services Ltd,TOOWOOMBA,4350
Mackay Yamadi Lera Yumi Meta Assoc Inc,MACKAY,4740
Mapoon Aboriginal Council,MAPOON,4874
St Vincent's Care Services Ltd,BOWEN HILLS,4006
Mercy Community Services SEQ Limited,NUDGEE,4014
Queensland Health,MILLMERRAN,4357
Toowoomba Health Service District,TOOWOOMBA,4350
Multilink Community Services Inc,LOGAN CENTRAL,4114
Bowen Old Peoples Homes Society,BOWEN,4805
Napranum Aboriginal Council,NAPRANUM,4874
The Ethnic Communities Council of Queensland Limited,MAROOCHYDORE,4558
Nhulundu Wooribah Indigenous Health Organisation Incorporated,GLADSTONE,4680
Northern Peninsula Area Regional Council,BAMAGA,4876
Torres Strait Island Regional Council,THURSDAY ISLAND,4875
Ozcare,PIALBA,4655
OzPol Services Pty Ltd,BRISBANE,4000
All Aged Care Ltd,BRISBANE,4000
Pormpuraaw Community Council,PORMPURAAW,4871
MyHomecare Pty Ltd,BIRKDALE,4159
MyHomecare Pty Ltd,WOREE,4868
MyHomecare Pty Ltd,OXLEY,4075
MyHomecare Pty Ltd,KAWANA,4701
MyHomecare Pty Ltd,NORTH ROCKHAMPTON,4700
MyHomecare Pty Ltd,COOMERA,4209
MyHomecare Pty Ltd,BRENDALE,4500
MyHomecare Pty Ltd,PIALBA,4655
Queensland Community Care Pty Ltd,MT GRAVATT,4122
Ravenshoe Rural & Remote Aged & Disabled Care (Radcare) Inc,RAVENSHOE,4888
Richmond Shire Council,RICHMOND,4822
RSL Care RDNS Limited,PINJARRA HILLS,4069
RSL Care RDNS Limited,EIGHT MILE PLAINS,4113
RSL Care RDNS Limited,TOOWOOMBA,4350
RSL Care RDNS Limited,NERANG,4211
RSL Care RDNS Limited,ALEXANDRA HEADLAND,4572
RSL Care RDNS Limited,MACKAY,4740
RSL Care RDNS Limited,CABOOLTURE,4510
RSL Care RDNS Limited,BUNGALOW,4870
RSL Care RDNS Limited,BERSERKER,4701
RSL Care RDNS Limited,WULGURU,4811
RSL Care RDNS Limited,EASTERN HEIGHTS,4305
RSL Care RDNS Limited,BUNDABERG,4670
Springsure and District Aged Care Committee Incorporated,SPRINGSURE,4722
St John's Community Care Limited,REDLYNCH,4870
The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane,KINGAROY,4610
St Vincent's Care Services Ltd,MAROOCHYDORE,4558
KinCare Health Services Pty Ltd,SOUTH BRISBANE,4101
KinCare Health Services Pty Ltd,NOOSAVILLE,4566
Sundale Ltd,BURNSIDE,4560
The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane,SUNNYBANK,4109
Sunshine Coast Community Care Pty Ltd,KAWANA WATERS,4575
Toowoomba and Darling Downs Health Service District,TAROOM,4420
The Bur-Del Co-Operative Advancement Society Limited,AYR,4807
The Chinese Fraternity Association of Queensland Inc,FORTITUDE VALLEY,4006
The Salvation Army (Queensland) Property Trust,RIVERVIEW,4303
St Vincent's Care Services Ltd,SOUTHPORT,4215
The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane,NINGI,4511
Toowoomba and Darling Downs Health Service District,WANDOAN,4419
Queensland Health,WARWICK,4370
The Uniting Church in Australia Property Trust (Q.),CHERMSIDE,4032
The Uniting Church in Australia Property Trust (Q.),ROCKLEA,4106
The Uniting Church in Australia Property Trust (Q.),ROBINA,4226
The Uniting Church in Australia Property Trust (Q.),MARYBOROUGH,4650
DEPT OF HEALTH QLD,PROSERPINE,4800
Wongaburra Society,BEAUDESERT,4285
Wowan/Dululu Community Volunteer Group,WOWAN,4702
Wujal Wujal Aboriginal Shire Council,WUJAL WUJAL,4895
Mutkin Residential and Community Care Indigenous Corporation,YARRABAH,4871
Feros Care,COOLANGATTA,4225
Integratedliving Australia Ltd,BUNGALOW,4870
Lutheran Church of Australia - Queensland District,SOUTH TOOWOOMBA,4350
MyHomecare Pty Ltd,BUNDALL,4217
Care Connect Ltd,BUDERIM,4556
Lutheran Church of Australia - Queensland District,KINGAROY,4610
Arcare Pty Ltd,MURARRIE,4172
KinCare Health Services Pty Ltd,SPRINGWOOD,4127
Illawarra Retirement Trust,MOOLOOLABA,4557
Arcare Pty Ltd,HELENSVALE,4212
Arcare Pty Ltd,PEREGIAN SPRINGS,4573
Churches of Christ in Queensland,HEATLEY,4814
Alzheimer's Association of Queensland Inc,GORDON PARK,4031
Churches of Christ in Queensland,PIALBA,4655
Churches of Christ in Queensland,BRIBIE ISLAND,4507
Amplar Home Health,WOOLLOONGABBA,4102
Ozcare,SHAILER PARK,4128
Ozcare,CHERMSIDE,4032
Ozcare,BUNDABERG WEST,4670
Ozcare,CAIRNS,4870
Ozcare,ROBINA,4226
Ozcare,MACKAY,4740
Ozcare,NORTH LAKES,4509
Ozcare,ROCKHAMPTON,4700
Ozcare,CURRIMUNDI,4551
Ozcare,TOOWOOMBA,4350
Ozcare,GULLIVER,4812
Ozcare,BOOVAL,4304
Churches of Christ in Queensland,ARANA HILLS,4054
Churches of Christ in Queensland,ASHMORE,4214
Churches of Christ in Queensland,LITTLE MOUNTAIN,4551
Churches of Christ in Queensland,BOOVAL,4305
Churches of Christ in Queensland,TOOWOOMBA,4350
Churches of Christ in Queensland,WARWICK,4370
Mercy Aged and Community Care Ltd,WESTCOURT,4870
Southern Cross Care (QLD) Ltd,UPPER MOUNT GRAVATT,4122
The Corporation of the Synod of the Diocese of Brisbane,CABOOLTURE,4510
The Corporation of the Synod of the Diocese of Brisbane,MEADOWBROOK,4131
Institute for Urban Indigenous Health Ltd,CABOOLTURE,4510
The Corporation of the Synod of the Diocese of Brisbane,BOOVAL,4304
The Corporation of the Synod of the Diocese of Brisbane,ROMA,4455
The Corporation of the Synod of the Diocese of Brisbane,LONGREACH,4730
The Corporation of the Synod of the Diocese of Brisbane,WOOLLOONGABBA,4102
The Corporation of the Synod of the Diocese of Brisbane,STAFFORD,4053
The Corporation of the Synod of the Diocese of Brisbane,ROBINA,4226
The Corporation of the Synod of the Diocese of Brisbane,POINT VERNON,4655
The Corporation of the Synod of the Diocese of Brisbane,TOWNSVILLE,4810
The Corporation of the Synod of the Diocese of Brisbane,NAMBOUR,4560
Australian Unity Retirement Living Management Pty Ltd,BIRTINYA,4575
Alzheimer's Association of Queensland Inc,UPPER MOUNT GRAVATT,4122
Life Without Barriers,MANUNDA,4870
Just Better Care Australia Pty Ltd,BIRTINYA,4575
Suncare Community Services Ltd,MAROOCHYDORE,4558
Alzheimer's Association of Queensland Inc,EAST IPSWICH,4305
Alzheimer's Association of Queensland Inc,HARRISTOWN,4350
North and West Remote Health Limited,CURRAJONG,4812
Cairns and District Aboriginal and Torres Strait Islanders Corporation for Elders,BUNGALOW,4870
Burdekin Community Association Inc,AYR,4807
Comlink Australia Limited,BIRTINYA,4575
Comlink Australia Limited,RACEVIEW,4305
Comlink Australia Limited,SVENSSON HEIGHTS,4670
Cootharinga North Queensland,CURRAJONG,4812
Multicultural Communities Council - Gold Coast Limited,ASHMORE,4214
Amazing ProCare Australia,NERANG,4211
Ezyas@Home Pty Ltd,BARGARA,4670
Focused Health Care Pty Ltd,MURRUMBA DOWNS,4503
Angels in Aprons Pty Ltd,MILTON,4064
Staffball Pty Limited,VARSITY LAKES,4227
Hoori Group Pty Ltd,LOGAN CENTRAL,4114
Staffing Options for Community Services Pty Ltd,NEW FARM,4005
Regis Aged Care Pty Ltd,REDLYNCH,4870
HomeCare South Brisbane Pty Ltd,WOOLLOONGABBA,4102
Carers Link Pty Ltd,WYNNUM,4178
Aveo Home Care Services Pty Ltd,NEWSTEAD,4006
DGB Group Pty Ltd,HOPE ISLAND,4212
Killarney Memorial Aged Care Ltd,KILLARNEY,4373
Advanced Care Australia Pty Ltd,KULUIN,4558
EACH,WYNNUM,4178
Reliable Hands Community Care Services Pty Ltd,WOODRIDGE,4114
Life Without Barriers,SHAILER PARK,4128
Life Without Barriers,GARBUTT,4814
Life Without Barriers,NEWTOWN,4350
Life Without Barriers,NORTH MACKAY,4740
Life Without Barriers,ROCKHAMPTON,4700
JBC Brisbane North Pty Ltd,ARANA HILLS,4054
Masajoda Pty Ltd,TOOWONG,4066
1st Care Community Pty Ltd,COOPERS PLAINS,4108
Glasshouse Country Care Limited,BEERWAH,4519
Finncare Incorporated,THORNLANDS,4164
Liberty Community Connect Inc.,NERANG,4211
A & V Meyers Pty Ltd,BIRKDALE,4159
Comlink Australia Limited,NORTHLAKES,4509
Comlink Australia Limited,CAIRNS,4870
Comlink Australia Limited,TOWNSVILLE,4810
The Hub Family Medical Centre Pty Ltd,BURPENGARY,4505
Star Community Services Ltd,CLEVELAND,4163
LEADING STAFF PTY LTD,MILTON,4064
Deaf Services Limited,MOOROOKA,4105
Community Access Respite Services Inc,CHERMSIDE,4032
Just Better Care Australia Pty Ltd,SLACKS CREEK,4127
Co-ordinated Support Services Pty Ltd,BUNDABERG,4670
SBcare Incorporated,KINGAROY,4610
Just Better Care Australia Pty Ltd,CARINDALE,4152
Gladstone Community Linking Agency Inc,GLADSTONE,4680
Communify Queensland Inc,BARDON,4065
Yellowbridge QLD Ltd,TOOWOOMBA,4350
Eddison and Clare Pty Ltd,CABOOLTURE,4510
Infinity Home Care Pty Ltd,DOONAN,4562
Alara QLD Limited,IPSWICH,4305
Faulkners Handy Helpers Pty Ltd,BROOKWATER,4300
Ten Years Younger Home Care Pty Ltd,PARRAMATTA PARK,4870
Italian Australian Welfare Association (Granite Belt) Inc,STANTHORPE,4380
Yours In Caring Pty Ltd,BIRTINYA,4575
Infinity QCare Pty. Ltd.,INALA,4077
Rescare Podiatrists Pty Ltd,MORNINGSIDE,4170
Luminise Care Solutions Pty Ltd,MURRUMBA DOWNS,4503
For Life Pty Ltd,CAPALABA,4157
Burnie Brae Ltd,CHERMSIDE,4032
All About Living LTD,SANDGATE,4017
Magnetic Island Community Care Association Inc,HORSESHOE BAY,4819
Baldwin Care Group Services Pty Ltd,TAIGUM,4018
Help A Friend Club Toowoomba Inc,NEWTOWN,4350
Prestige Linx Pty Ltd,SOUTHPORT,4215
FiveGoodFriends Pty Ltd,SOUTH BRISBANE,4101
Catholic Healthcare Limited,FORTITUDE VALLEY,4066
Beenleigh and Districts Senior Citizens Centre Inc,BEENLEIGH,4207
Good Shepherd Lodge Ltd,MACKAY,4740
Futurecare Group Pty Ltd,GLENVALE,4350
The Frank Whiddon Masonic Homes of New South Wales,BEAUDESERT,4285
Just Better Care Australia Pty Ltd,NORTH WARD,4810
FNQ Independent Living Support Association Inc,PARRAMATTA PARK,4870
Sixmortons Pty Ltd,CALOUNDRA,4551
DEPT OF HEALTH QLD,BOWEN,4805
Lomman Waigh Enterprises Pty Ltd,MARGATE,4019
Oiy Pty Ltd,ASHMORE,4214
Multicap Limited,EIGHT MILE PLAINS,4113
CIMAS Nursing Services Pty Ltd,BROOKWATER,4300
Life Without Barriers,MAROOCHYDORE,4558
Queensland Rehabilitation Services Pty Ltd,HAMILTON,4007
Queensland Rehabilitation Services Pty Ltd,UPPER MOUNT GRAVATT,4122
Queensland Rehabilitation Services Pty Ltd,CARINDALE,4152
"CPL - Choice, Passion, Life",BRISBANE,4000
Life Without Barriers,IPSWICH,4305
Life Without Barriers,MILTON,4064
Ingham Parents Support Group Inc,INGHAM,4850
BEAUCARE INC,BEAUDESERT,4285
Livebetter Services Limited,MACKAY,4740
Livebetter Services Limited,ROCKHAMPTON CITY,4700
Livebetter Services Limited,BUNDABERG SOUTH,4670
Livebetter Services Limited,LONGREACH,4730
Livebetter Services Limited,MOUNT ISA,4825
Banana Shire Council,TAROOM,4420
Continuity Care Australia Pty Ltd,GRIFFIN,4503
Quick Response Carers Pty Ltd,MANSFIELD,4122
Torres and Cape Hospital and Health Service,CAIRNS,4870
WeCare Disability and Social Work Services Pty Ltd,AITKENVALE,4814
The Baptist Union of Queensland,CONDON,4815
The Baptist Union of Queensland,CABOOLTURE SOUTH,4510
The Baptist Union of Queensland,HIGHFIELDS,4352
The Baptist Union of Queensland,PIALBA,4655
The Village Home Care Services Pty Ltd,FORTITUDE VALLEY,4006
Mt Gravatt Community Centre Inc,MOUNT GRAVATT,4122
Western HomeCare Pty. Ltd.,BUDERIM,4556
Just Better Care Australia Pty Ltd,BERSERKER,4701
Northern Peninsula Area Regional Council,NEW MAPOON,4876
Beaumont Care (Holdings) Pty Ltd,WAMURAM,4512
Alzheimer's Association of Queensland Inc,ARUNDEL,4214
St John's Community Care Limited,COEN,4892
St John's Community Care Limited,MAREEBA,4880
St John's Community Care Limited,INNISFAIL,4860
St John's Community Care Limited,AITKENVALE,4814
St John's Community Care Limited,TAIGUM,4018
Torbay Lifestyles and Care Limited,TORQUAY,4655
Trilogy Care Pty Ltd,BOWEN HILLS,4006
Mary Valley Aged Care Pty Ltd,SOUTHPORT,4215
Seasons Living Australia Pty Ltd,BRENDALE,4500
The Baptist Union of Queensland,WARANA,4575
Retire Australia Care and Services Pty Ltd,BIRKDALE,4159
Lutheran Church of Australia - Queensland District,TALLEBUDGERA,4228
Lutheran Church of Australia - Queensland District,LAIDLEY,4341
Lutheran Church of Australia - Queensland District,WOODRIDGE,4114
Lutheran Church of Australia - Queensland District,BILOELA,4715
Lutheran Church of Australia - Queensland District,NUNDAH,4012
Lutheran Church of Australia - Queensland District,GYMPIE,4570
Lutheran Church of Australia - Queensland District,BOONAH,4310
Clifton Co-Op Hospital Ltd,CLIFTON,4361
TransitCare Limited,LOGANLEA,4131
Curatura Pty Ltd,CANNON HILL,4170
Rural Lifestyle Options Australia Ltd,REDLAND BAY,4165
Torres Strait Home for the Aged Association Inc,THURSDAY ISLAND,4875
Noel Nursing Community Services Pty Ltd,ASHFIELD,4670
Masajoda Pty Ltd,TOOWOOMBA,4350
ARMIA HEALING THE INCURABLES PTY LTD,SUNNYBANK,4109
Alicaring Pty Ltd,SUNNYBANK,4109
Ozcare,EMERALD,4720
Ozcare,West Gladstone,4680
Community Home Care Pty Ltd,STRETTON,4116
Home Maintenance and Security Service Association trading as Home Assist Community Services,MARYBOROUGH,4650
Comlink Australia Limited,TOOWOOMBA,4350
Masajoda Pty Ltd,CAIRNS,4870
Masajoda Pty Ltd,KANGAROO POINT,4169
Aussiecare Foundation Pty Ltd,RIVERHILLS,4074
Pearl Home Care Pty Ltd,NUNDAH,4012
Pearl Home Care Pty Ltd,UNDERWOOD,4119
Pearl Home Care Pty Ltd,BROADBEACH,4218
Pearl Home Care Pty Ltd,GOODNA,4300
Pearl Home Care Pty Ltd,CURRIMUNDI,4551
Grace and Ease Pty Ltd,BIRKDALE,4159
TFG Holdings Pty Ltd,WILLAWONG,4110
Optimise Health and Wellness Pty Ltd,INGHAM,4850
Ozcare,PARRAMATTA PARK,4870
Ram Care Pty Ltd,SPRINGWOOD,4127
Aged Care & Housing Group Inc,YANKALILLA,5203
Barossa Hills Fleurieu Local Health Network Incorporated,MOUNT BARKER,5251
KinCare Health Services Pty Ltd,UNLEY,5061
Southern Cross Care (SA NT & VIC) Incorporated,GOOLWA,5214
City of Holdfast Bay,HOVE,5048
Anglicare SA Ltd,HINDMARSH,5007
Barossa Village Inc,NURIOOTPA,5355
Barunga Village Incorporated,PORT BROUGHTON,5522
Boandik Lodge Inc,MOUNT GAMBIER,5290
Calvary Community Care,GOOLWA,5214
Calvary Community Care,PORT AUGUSTA,5700
Anglicare SA Ltd,OAKLANDS PARK,5046
Country Home Advocacy Project Inc,NURIOOTPA,5355
ECH Inc,KIDMAN PARK,5025
ECH Inc,WESTBOURNE PARK,5041
Clincare Pty Ltd,UNDERDALE,5032
UnitingCare Wesley Bowden Incorporated,BOWDEN,5007
The Society of St Hilarion Inc,SEATON,5023
Rembrandt Living Incorporated,OAKLANDS PARK,5046
ECH Inc,WALKERVILLE,5081
ECH Inc,PARKSIDE,5063
Eyre and Far North Local Health Network Incorporated,PORT LINCOLN,5606
Greek Orthodox Community of SA Inc,ADELAIDE,5000
Helping Hand Aged Care Inc,SALISBURY SOUTH,5106
Uniting Communities Incorporated,ADELAIDE,5000
Aged Care & Housing Group Inc,NEWTON,5074
Aged Care & Housing Group Inc,CHRISTIE DOWNS,5164
Italian Benevolent Foundation SA Inc,WOODVILLE NORTH,5012
James Brown Memorial Trust,BELAIR,5062
Lutheran Homes Group Incorporated,ADELAIDE,5000
Resthaven Inc,NOARLUNGA CENTRE,5168
Resthaven Inc,MARION,5043
Matthew Flinders Home Inc,PORT LINCOLN,5606
Helping Hand Aged Care Inc,PORT PIRIE,5540
Croatian Ukrainian and Belarusian Aged Care Association of SA Incorporated,PROSPECT,5082
Resthaven Inc,MURRAY BRIDGE,5253
Murray Mallee Aged Care Group Inc,MURRAY BRIDGE,5253
